t signal freq component
1.45 -0.587785 4.53125 1.14801
1.475 -0.309017 4.60938 1.09036
1.5 -7.34788e-16 4.6875 1.03643
1.525 0.309017 4.76562 0.985895
1.55 0.587785 4.84375 0.938457
1.575 0.809017 4.92188 0.893859
1.6 0.951057 5 0.85187
1.625 1 5.07812 0.812282
1.65 0.951057 5.15625 0.774908
1.675 0.809017 5.23438 0.73958
1.7 0.587785 5.3125 0.706147
1.725 0.309017 5.39062 0.674469
1.75 8.57253e-16 5.46875 0.644422
1.775 -0.309017 5.54688 0.615892
1.8 -0.587785 5.625 0.588775
1.825 -0.809017 5.70312 0.562978
1.85 -0.951057 5.78125 0.538412
1.875 -1 5.85938 0.514998
1.9 -0.951057 5.9375 0.492664
1.925 -0.809017 6.01562 0.471342
1.95 -0.587785 6.09375 0.45097
1.975 -0.309017 6.17188 0.431492
2 -9.79717e-16 6.25 0.412854
2.025 0.309017 6.32812 0.395007
2.05 0.587785 6.40625 0.377908
2.075 0.809017 6.48438 0.361512
2.1 0.951057 6.5625 0.345783
2.125 1 6.64062 0.330682
2.15 0.951057 6.71875 0.316177
2.175 0.809017 6.79688 0.302236
2.2 0.587785 6.875 0.28883
2.225 0.309017 6.95312 0.275931
2.25 1.10218e-15 7.03125 0.263513
2.275 -0.309017 7.10938 0.251553
2.3 -0.587785 7.1875 0.240029
2.325 -0.809017 7.26562 0.228918
2.35 -0.951057 7.34375 0.218201
2.375 -1 7.42188 0.20786
2.4 -0.951057 7.5 0.197877
2.425 -0.809017 7.57812 0.188235
2.45 -0.587785 7.65625 0.17892
2.475 -0.309017 7.73438 0.169916
2.5 -1.22465e-15 7.8125 0.161209
2.525 0.309017 7.89062 0.152788
2.55 0.587785 7.96875 0.144638
2.575 0.809017 8.04688 0.136749
2.6 0.951057 8.125 0.12911
2.625 1 8.20312 0.121711
2.65 0.951057 8.28125 0.11454
2.675 0.809017 8.35938 0.10759
2.7 0.587785 8.4375 0.100851
2.725 0.309017 8.51562 0.0943145
2.75 4.89983e-15 8.59375 0.0879729
2.775 -0.309017 8.67188 0.0818185
2.8 -0.587785 8.75 0.0758441
2.825 -0.809017 8.82812 0.0700428
2.85 -0.951057 8.90625 0.0644081
2.875 -1 8.98438 0.0589338
2.9 -0.951057 9.0625 0.0536138
2.925 -0.809017 9.14062 0.0484427
2.95 -0.587785 9.21875 0.0434149
2.975 -0.309017 9.29688 0.0385254
3 -1.46958e-15 9.375 0.0337693
3.025 0.309017 9.45312 0.0291418
3.05 0.587785 9.53125 0.0246385
3.075 0.809017 9.60938 0.0202551
3.1 0.951057 9.6875 0.0159876
3.125 1 9.76562 0.011832
3.15 0.951057 9.84375 0.00778453
3.175 0.809017 9.92188 0.00384168
3.2 0.587785 10 3.54142e-13
3.225 0.309017 10.0781 0.00374381
3.25 -1.96067e-15 10.1562 0.00739289
3.275 -0.309017 10.2344 0.0109503
3.3 -0.587785 10.3125 0.0144188
3.325 -0.809017 10.3906 0.0178014
3.35 -0.951057 10.4688 0.0211006
3.375 -1 10.5469 0.024319
3.4 -0.951057 10.625 0.027459
3.425 -0.809017 10.7031 0.0305231
3.45 -0.587785 10.7812 0.0335135
3.475 -0.309017 10.8594 0.0364323
3.5 -1.71451e-15 10.9375 0.0392818
3.525 0.309017 11.0156 0.0420638
3.55 0.587785 11.0938 0.0447804
3.575 0.809017 11.1719 0.0474334
3.6 0.951057 11.25 0.0500247
3.625 1 11.3281 0.0525559
3.65 0.951057 11.4062 0.0550287
3.675 0.809017 11.4844 0.0574447
3.7 0.587785 11.5625 0.0598056
3.725 0.309017 11.6406 0.0621127
3.75 5.38968e-15 11.7188 0.0643676
3.775 -0.309017 11.7969 0.0665716
3.8 -0.587785 11.875 0.0687261
3.825 -0.809017 11.9531 0.0708323
3.85 -0.951057 12.0312 0.0728916
3.875 -1 12.1094 0.074905
3.9 -0.951057 12.1875 0.0768739
3.925 -0.809017 12.2656 0.0787993
3.95 -0.587785 12.3438 0.0806822
3.975 -0.309017 12.4219 0.0825239
4 -1.95943e-15 12.5 0.0843252
4.025 0.309017 12.5781 0.0860871
4.05 0.587785 12.6562 0.0878107
4.075 0.809017 12.7344 0.0894968
4.1 0.951057 12.8125 0.0911463
4.125 1 12.8906 0.09276
4.15 0.951057 12.9688 0.0943389
4.175 0.809017 13.0469 0.0958837
4.2 0.587785 13.125 0.0973951
4.225 0.309017 13.2031 0.098874
4.25 -1.47081e-15 13.2812 0.100321
4.275 -0.309017 13.3594 0.101737
4.3 -0.587785 13.4375 0.103123
4.325 -0.809017 13.5156 0.104478
4.35 -0.951057 13.5938 0.105805
4.375 -1 13.6719 0.107103
4.4 -0.951057 13.75 0.108373
4.425 -0.809017 13.8281 0.109616
4.45 -0.587785 13.9062 0.110832
4.475 -0.309017 13.9844 0.112022
4.5 -2.20436e-15 14.0625 0.113186
4.525 0.309017 14.1406 0.114325
4.55 0.587785 14.2188 0.11544
4.575 0.809017 14.2969 0.11653
4.6 0.951057 14.375 0.117597
4.625 1 14.4531 0.11864
4.65 0.951057 14.5312 0.11966
4.675 0.809017 14.6094 0.120658
4.7 0.587785 14.6875 0.121635
4.725 0.309017 14.7656 0.122589
4.75 5.87954e-15 14.8438 0.123523
4.775 -0.309017 14.9219 0.124435
4.8 -0.587785 15 0.125328
4.825 -0.809017 15.0781 0.1262
4.85 -0.951057 15.1562 0.127052
4.875 -1 15.2344 0.127885
4.9 -0.951057 15.3125 0.128699
4.925 -0.809017 15.3906 0.129495
4.95 -0.587785 15.4688 0.130271
4.975 -0.309017 15.5469 0.13103
5 -2.44929e-15 15.625 0.131771
5.025 0.309017 15.7031 0.132494
5.05 0.587785 15.7812 0.1332
5.075 0.809017 15.8594 0.133889
5.1 0.951057 15.9375 0.134562
5.125 1 16.0156 0.135217
5.15 0.951057 16.0938 0.135857
5.175 0.809017 16.1719 0.13648
5.2 0.587785 16.25 0.137088
5.225 0.309017 16.3281 0.13768
5.25 -9.80955e-16 16.4062 0.138256
5.275 -0.309017 16.4844 0.138818
5.3 -0.587785 16.5625 0.139364
5.325 -0.809017 16.6406 0.139896
5.35 -0.951057 16.7188 0.140413
5.375 -1 16.7969 0.140916
5.4 -0.951057 16.875 0.141404
5.425 -0.809017 16.9531 0.141878
5.45 -0.587785 17.0312 0.142338
5.475 -0.309017 17.1094 0.142785
5.5 -9.79965e-15 17.1875 0.143218
5.525 0.309017 17.2656 0.143637
5.55 0.587785 17.3438 0.144044
5.575 0.809017 17.4219 0.144436
5.6 0.951057 17.5 0.144816
5.625 1 17.5781 0.145183
5.65 0.951057 17.6562 0.145537
5.675 0.809017 17.7344 0.145879
5.7 0.587785 17.8125 0.146208
5.725 0.309017 17.8906 0.146524
5.75 6.3694e-15 17.9688 0.146828
5.775 -0.309017 18.0469 0.14712
5.8 -0.587785 18.125 0.147399
5.825 -0.809017 18.2031 0.147667
5.85 -0.951057 18.2812 0.147922
5.875 -1 18.3594 0.148166
5.9 -0.951057 18.4375 0.148398
5.925 -0.809017 18.5156 0.148618
5.95 -0.587785 18.5938 0.148826
5.975 -0.309017 18.6719 0.149023
6 -2.93915e-15 18.75 0.149208
6.025 0.309017 18.8281 0.149381
6.05 0.587785 18.9062 0.149543
6.075 0.809017 18.9844 0.149694
6.1 0.951057 19.0625 0.149833
6.125 1 19.1406 0.149961
6.15 0.951057 19.2188 0.150078
6.175 0.809017 19.2969 0.150184
6.2 0.587785 19.375 0.150278
6.225 0.309017 19.4531 0.150361
6.25 -4.91097e-16 19.5312 0.150433
6.275 -0.309017 19.6094 0.150494
6.3 -0.587785 19.6875 0.150544
6.325 -0.809017 19.7656 0.150583
6.35 -0.951057 19.8438 0.15061
6.375 -1 19.9219 0.150627
6.4 -0.951057 -20 0.150633
6.425 -0.809017 -19.9219 0.150627
6.45 -0.587785 -19.8438 0.15061
6.475 -0.309017 -19.7656 0.150583
6.5 3.92135e-15 -19.6875 0.150544
6.525 0.309017 -19.6094 0.150494
6.55 0.587785 -19.5312 0.150433
6.575 0.809017 -19.4531 0.150361
6.6 0.951057 -19.375 0.150278
6.625 1 -19.2969 0.150184
6.65 0.951057 -19.2188 0.150078
6.675 0.809017 -19.1406 0.149961
6.7 0.587785 -19.0625 0.149833
6.725 0.309017 -18.9844 0.149694
6.75 6.85926e-15 -18.9062 0.149543
6.775 -0.309017 -18.8281 0.149381
6.8 -0.587785 -18.75 0.149208
6.825 -0.809017 -18.6719 0.149023
6.85 -0.951057 -18.5938 0.148826
6.875 -1 -18.5156 0.148618
6.9 -0.951057 -18.4375 0.148398
6.925 -0.809017 -18.3594 0.148166
6.95 -0.587785 -18.2812 0.147922
6.975 -0.309017 -18.2031 0.147667
7 -3.42901e-15 -18.125 0.147399
7.025 0.309017 -18.0469 0.14712
7.05 0.587785 -17.9688 0.146828
7.075 0.809017 -17.8906 0.146524
7.1 0.951057 -17.8125 0.146208
7.125 1 -17.7344 0.145879
7.15 0.951057 -17.6562 0.145537
7.175 0.809017 -17.5781 0.145183
7.2 0.587785 -17.5 0.144816
7.225 0.309017 -17.4219 0.144436
7.25 -1.23796e-18 -17.3438 0.144044
7.275 -0.309017 -17.2656 0.143637
7.3 -0.587785 -17.1875 0.143218
7.325 -0.809017 -17.1094 0.142785
7.35 -0.951057 -17.0312 0.142338
7.375 -1 -16.9531 0.141878
7.4 -0.951057 -16.875 0.141404
7.425 -0.809017 -16.7969 0.140916
7.45 -0.587785 -16.7188 0.140413
7.475 -0.309017 -16.6406 0.139896
7.5 -1.07794e-14 -16.5625 0.139364
7.525 0.309017 -16.4844 0.138818
7.55 0.587785 -16.4062 0.138256
7.575 0.809017 -16.3281 0.13768
7.6 0.951057 -16.25 0.137088
7.625 1 -16.1719 0.13648
7.65 0.951057 -16.0938 0.135857
7.675 0.809017 -16.0156 0.135217
7.7 0.587785 -15.9375 0.134562
7.725 0.309017 -15.8594 0.133889
7.75 7.34912e-15 -15.7812 0.1332
7.775 -0.309017 -15.7031 0.132494
7.8 -0.587785 -15.625 0.131771
7.825 -0.809017 -15.5469 0.13103
7.85 -0.951057 -15.4688 0.130271
7.875 -1 -15.3906 0.129495
7.9 -0.951057 -15.3125 0.128699
7.925 -0.809017 -15.2344 0.127885
7.95 -0.587785 -15.1562 0.127052
7.975 -0.309017 -15.0781 0.1262
8 -3.91887e-15 -15 0.125328
8.025 0.309017 -14.9219 0.124435
8.05 0.587785 -14.8438 0.123523
8.075 0.809017 -14.7656 0.122589
8.1 0.951057 -14.6875 0.121635
8.125 1 -14.6094 0.120658
8.15 0.951057 -14.5312 0.11966
8.175 0.809017 -14.4531 0.11864
8.2 0.587785 -14.375 0.117597
8.225 0.309017 -14.2969 0.11653
8.25 4.88621e-16 -14.2188 0.11544
8.275 -0.309017 -14.1406 0.114325
8.3 -0.587785 -14.0625 0.113186
8.325 -0.809017 -13.9844 0.112022
8.35 -0.951057 -13.9062 0.110832
8.375 -1 -13.8281 0.109616
8.4 -0.951057 -13.75 0.108373
8.425 -0.809017 -13.6719 0.107103
8.45 -0.587785 -13.5938 0.105805
8.475 -0.309017 -13.5156 0.104478
8.5 2.94163e-15 -13.4375 0.103123
8.525 0.309017 -13.3594 0.101737
8.55 0.587785 -13.2812 0.100321
8.575 0.809017 -13.2031 0.098874
8.6 0.951057 -13.125 0.0973951
8.625 1 -13.0469 0.0958837
8.65 0.951057 -12.9688 0.0943389
8.675 0.809017 -12.8906 0.09276
8.7 0.587785 -12.8125 0.0911463
8.725 0.309017 -12.7344 0.0894968
8.75 7.83898e-15 -12.6562 0.0878107
8.775 -0.309017 -12.5781 0.0860871
8.8 -0.587785 -12.5 0.0843252
8.825 -0.809017 -12.4219 0.0825239
8.85 -0.951057 -12.3438 0.0806822
8.875 -1 -12.2656 0.0787993
8.9 -0.951057 -12.1875 0.0768739
8.925 -0.809017 -12.1094 0.074905
8.95 -0.587785 -12.0312 0.0728916
8.975 -0.309017 -11.9531 0.0708323
9 -4.40873e-15 -11.875 0.0687261
9.025 0.309017 -11.7969 0.0665716
9.05 0.587785 -11.7188 0.0643676
9.075 0.809017 -11.6406 0.0621127
9.1 0.951057 -11.5625 0.0598056
9.125 1 -11.4844 0.0574447
9.15 0.951057 -11.4062 0.0550287
9.175 0.809017 -11.3281 0.0525559
9.2 0.587785 -11.25 0.0500247
9.225 0.309017 -11.1719 0.0474334
9.25 9.78479e-16 -11.0938 0.0447804
9.275 -0.309017 -11.0156 0.0420638
9.3 -0.587785 -10.9375 0.0392818
9.325 -0.809017 -10.8594 0.0364323
9.35 -0.951057 -10.7812 0.0335135
9.375 -1 -10.7031 0.0305231
9.4 -0.951057 -10.625 0.027459
9.425 -0.809017 -10.5469 0.024319
9.45 -0.587785 -10.4688 0.0211006
9.475 -0.309017 -10.3906 0.0178014
9.5 -1.17591e-14 -10.3125 0.0144188
9.525 0.309017 -10.2344 0.0109503
9.55 0.587785 -10.1562 0.00739289
9.575 0.809017 -10.0781 0.00374381
9.6 0.951057 -10 3.5418e-13
9.625 1 -9.92188 0.00384168
9.65 0.951057 -9.84375 0.00778453
9.675 0.809017 -9.76562 0.011832
9.7 0.587785 -9.6875 0.0159876
9.725 0.309017 -9.60938 0.0202551
9.75 8.32884e-15 -9.53125 0.0246385
9.775 -0.309017 -9.45312 0.0291418
9.8 -0.587785 -9.375 0.0337693
9.825 -0.809017 -9.29688 0.0385254
9.85 -0.951057 -9.21875 0.0434149
9.875 -1 -9.14062 0.0484427
9.9 -0.951057 -9.0625 0.0536138
9.925 -0.809017 -8.98438 0.0589338
9.95 -0.587785 -8.90625 0.0644081
9.975 -0.309017 -8.82812 0.0700428
10 -4.89859e-15 -8.75 0.0758441
10.025 0.309017 -8.67188 0.0818185
10.05 0.587785 -8.59375 0.0879729
10.075 0.809017 -8.51562 0.0943145
10.1 0.951057 -8.4375 0.100851
10.125 1 -8.35938 0.10759
10.15 0.951057 -8.28125 0.11454
10.175 0.809017 -8.20312 0.121711
10.2 0.587785 -8.125 0.12911
10.225 0.309017 -8.04688 0.136749
10.25 1.56792e-14 -7.96875 0.144638
10.275 -0.309017 -7.89062 0.152788
10.3 -0.587785 -7.8125 0.161209
10.325 -0.809017 -7.73438 0.169916
10.35 -0.951057 -7.65625 0.17892
10.375 -1 -7.57812 0.188235
10.4 -0.951057 -7.5 0.197877
10.425 -0.809017 -7.42188 0.20786
10.45 -0.587785 -7.34375 0.218201
10.475 -0.309017 -7.26562 0.228918
10.5 1.96191e-15 -7.1875 0.240029
10.525 0.309017 -7.10938 0.251553
10.55 0.587785 -7.03125 0.263513
10.575 0.809017 -6.95312 0.275931
10.6 0.951057 -6.875 0.28883
10.625 1 -6.79688 0.302236
10.65 0.951057 -6.71875 0.316177
10.675 0.809017 -6.64062 0.330682
10.7 0.587785 -6.5625 0.345783
10.725 0.309017 -6.48438 0.361512
10.75 8.81869e-15 -6.40625 0.377908
10.775 -0.309017 -6.32812 0.395007
10.8 -0.587785 -6.25 0.412854
10.825 -0.809017 -6.17188 0.431492
10.85 -0.951057 -6.09375 0.45097
10.875 -1 -6.01562 0.471342
10.9 -0.951057 -5.9375 0.492664
10.925 -0.809017 -5.85938 0.514998
10.95 -0.587785 -5.78125 0.538412
10.975 -0.309017 -5.70312 0.562978
11 -1.95993e-14 -5.625 0.588775
11.025 0.309017 -5.54688 0.615892
11.05 0.587785 -5.46875 0.644422
11.075 0.809017 -5.39062 0.674469
11.1 0.951057 -5.3125 0.706147
11.125 1 -5.23438 0.73958
11.15 0.951057 -5.15625 0.774908
11.175 0.809017 -5.07812 0.812282
11.2 0.587785 -5 0.85187
11.225 0.309017 -4.92188 0.893859
11.25 1.9582e-15 -4.84375 0.938457
11.275 -0.309017 -4.76562 0.985895
11.3 -0.587785 -4.6875 1.03643
11.325 -0.809017 -4.60938 1.09036
11.35 -0.951057 -4.53125 1.14801
11.375 -1 -4.45312 1.20974
11.4 -0.951057 -4.375 1.27597
11.425 -0.809017 -4.29688 1.34719
11.45 -0.587785 -4.21875 1.42394
11.475 -0.309017 -4.14062 1.50684
11.5 -1.27388e-14 -4.0625 1.59661
11.525 0.309017 -3.98438 1.69409
11.55 0.587785 -3.90625 1.80025
11.575 0.809017 -3.82812 1.91623
11.6 0.951057 -3.75 2.04339
11.625 1 -3.67188 2.18332
11.65 0.951057 -3.59375 2.33794
11.675 0.809017 -3.51562 2.50957
11.7 0.587785 -3.4375 2.70102
11.725 0.309017 -3.35938 2.91576
11.75 -4.9023e-15 -3.28125 3.15813
11.775 -0.309017 -3.20312 3.43356
11.8 -0.587785 -3.125 3.74903
11.825 -0.809017 -3.04688 4.11358
11.85 -0.951057 -2.96875 4.5392
11.875 -1 -2.89062 5.04207
11.9 -0.951057 -2.8125 5.6446
11.925 -0.809017 -2.73438 6.37878
11.95 -0.587785 -2.65625 7.29181
11.975 -0.309017 -2.57812 8.45643
12 -5.8783e-15 -2.5 9.99086
12.025 0.309017 -2.42188 12.1009
12.05 0.587785 -2.34375 15.1796
12.075 0.809017 -2.26562 20.0822
12.1 0.951057 -2.1875 29.0895
12.125 1 -2.10938 50.9997
12.15 0.951057 -2.03125 182.59
12.175 0.809017 -1.95312 124.546
12.2 0.587785 -1.875 47.7985
12.225 0.309017 -1.79688 30.1113
12.25 1.66589e-14 -1.71875 22.2686
12.275 -0.309017 -1.64062 17.851
12.3 -0.587785 -1.5625 15.0245
12.325 -0.809017 -1.48438 13.0665
12.35 -0.951057 -1.40625 11.635
12.375 -1 -1.32812 10.547
12.4 -0.951057 -1.25 9.69585
12.425 -0.809017 -1.17188 9.01519
12.45 -0.587785 -1.09375 8.46161
12.475 -0.309017 -1.01562 8.00556
12.5 9.82193e-16 -0.9375 7.62623
12.525 0.309017 -0.859375 7.30859
12.55 0.587785 -0.78125 7.04155
12.575 0.809017 -0.703125 6.81678
12.6 0.951057 -0.625 6.6279
12.625 1 -0.546875 6.47004
12.65 0.951057 -0.46875 6.33942
12.675 0.809017 -0.390625 6.2331
12.7 0.587785 -0.3125 6.14883
12.725 0.309017 -0.234375 6.08491
12.75 9.79841e-15 -0.15625 6.04009
12.775 -0.309017 -0.078125 6.01353
